Institution,City,State,Undergraduates,Median Earnings
San Joaquin Valley College-Visalia,Visalia,CA,2124.0,35856.0
San Joaquin Valley College-Bakersfield,Bakersfield,CA,788.0,35856.0
William Jessup University,Rocklin,CA,1195.0,52890.0
San Jose City College,San Jose,CA,6076.0,43784.0
San Jose State University,San Jose,CA,28190.0,72635.0
College of San Mateo,San Mateo,CA,5553.0,50874.0
Santa Barbara Business College-Bakersfield,Bakersfield,CA,9.0,31311.0
Santa Barbara City College,Santa Barbara,CA,10570.0,42815.0
Santa Clara University,Santa Clara,CA,5887.0,99012.0
Santa Monica College,Santa Monica,CA,21482.0,38591.0
Santa Rosa Junior College,Santa Rosa,CA,12916.0,45757.0
Saybrook University,Pasadena,CA,,
Scripps College,Claremont,CA,1091.0,70465.0
College of the Sequoias,Visalia,CA,9546.0,35288.0
Shasta Bible College and Graduate School,Redding,CA,29.0,29950.0
Shasta College,Redding,CA,5079.0,36196.0
Sierra College,Rocklin,CA,12847.0,39181.0
Sierra College of Beauty,Merced,CA,122.0,23705.0
Trinity Law School,Santa Ana,CA,,44008.0
Simpson University,Redding,CA,805.0,47218.0
College of the Siskiyous,Weed,CA,1049.0,34365.0
Charles A Jones Career and Education Center,Sacramento,CA,163.0,34963.0
Skyline College,San Bruno,CA,5664.0,54585.0
San Bernardino Valley College,San Bernardino,CA,8578.0,35898.0
Saint Mary's College of California,Moraga,CA,2190.0,71724.0
Solano Community College,Fairfield,CA,6942.0,40894.0
Sonoma State University,Rohnert Park,CA,6560.0,62725.0
South Baylo University,Anaheim,CA,,15146.0
South Coast College,Orange,CA,272.0,38168.0
Vanguard University of Southern California,Costa Mesa,CA,1972.0,53394.0
Concorde Career College-Garden Grove,Garden Grove,CA,734.0,43057.0
Southwestern College,Chula Vista,CA,14285.0,39134.0
Starr King School for the Ministry,Oakland,CA,,
Marshall B Ketchum University,Fullerton,CA,,
Southern California Institute of Architecture,Los Angeles,CA,252.0,78173.0
University of Southern California,Los Angeles,CA,20619.0,89884.0
Southwestern Law School,Los Angeles,CA,,
Taft College,Taft,CA,3208.0,35680.0
Claremont School of Theology,Claremont,CA,,
Thomas Aquinas College,Santa Paula,CA,497.0,47874.0
Epic Bible College & Graduate School,Sacramento,CA,88.0,40311.0
UEI College-Huntington Park,Huntington Park,CA,1108.0,28233.0
Concorde Career College-San Bernardino,San Bernardino,CA,744.0,33916.0
Concorde Career College-North Hollywood,North Hollywood,CA,714.0,43694.0
Ventura College,Ventura,CA,9808.0,41017.0
The Colleges of Law at Ventura,Ventura,CA,,
Bridges Beauty College,Victorville,CA,94.0,
Victor Valley College,Victorville,CA,9814.0,33339.0
Berkeley City College,Berkeley,CA,4067.0,38104.0
Walden University,Minneapolis,MN,7086.0,48155.0
Waynes College of Beauty,Salinas,CA,55.0,
West Hills College-Coalinga,Coalinga,CA,1999.0,36897.0
West Los Angeles College,Culver City,CA,7921.0,36086.0
West Valley College,Saratoga,CA,5779.0,44681.0
Carrington College-Sacramento,Sacramento,CA,1606.0,37808.0
Westminster Theological Seminary in California,Escondido,CA,,
